ID,TEMPO_PERMANENCIA_CLIENTE_MESES,B,C,D,E,G,H,J,OUTROS,TOTAL_DOLAR_FATURADO,TICKET_MEDIO,RECENCIA,FREQUENCIA,VALOR,CHURN
62.0,29.0,12,0,20,12,12,0,0,20,7927.08,1981.77,4536.0,4.0,5.0,0
63.0,0.0,0,1,1,0,1,0,0,1,3942.0,3942.0,4444.0,1.0,2.0,1
64.0,61.0,0,9,0,0,6,0,9,0,11626.77,3875.59,335.0,3.0,4.0,0
65.0,0.0,1,0,1,0,0,0,0,0,1405.0,1405.0,6119.0,1.0,1.0,0
66.0,58.0,18,24,24,3,24,6,24,0,33919.04,11306.346666666666,1096.0,3.0,8.0,0
67.0,0.0,1,1,0,0,0,0,0,1,4032.5,4032.5,6970.0,1.0,1.0,1
68.0,164.0,1845,1927,2419,902,2009,328,1968,533,338599.81,8258.531951219513,122.0,41.0,62.0,0
69.0,284.0,2232,2914,3410,868,2976,1488,2976,1550,308276.71,4972.205,30.0,62.0,86.0,1
70.0,107.0,0,0,16,0,4,0,0,4,1255.69,313.9225,5024.0,4.0,4.0,1
71.0,89.0,3,3,0,3,3,3,3,0,13872.060000000001,4624.02,2832.0,3.0,4.0,0
72.0,88.0,95,95,0,19,76,0,95,19,45951.56,2418.503157894737,30.0,19.0,21.0,1
73.0,0.0,1,0,0,0,0,0,0,0,755.0,755.0,6940.0,1.0,1.0,1
74.0,111.0,4,0,0,0,0,0,0,0,5945.0,1486.25,2801.0,4.0,4.0,1
75.0,74.0,12,3,3,9,3,0,3,0,11947.58,3982.5266666666666,2801.0,3.0,4.0,1
76.0,62.0,2,0,0,0,2,2,0,2,349.0,174.5,2801.0,2.0,2.0,1
77.0,172.0,572,154,0,242,22,22,22,264,91327.52,4151.250909090909,3136.0,22.0,26.0,1
78.0,108.0,50,0,20,30,0,0,0,0,27258.0,2725.8,2860.0,10.0,11.0,1
79.0,39.0,6,6,0,6,6,0,6,0,7264.41,2421.47,2557.0,3.0,3.0,0
80.0,41.0,2,0,0,0,0,0,0,2,2672.5,1336.25,5813.0,2.0,2.0,1
81.0,0.0,1,0,0,1,0,0,0,0,1610.0,1610.0,5479.0,1.0,2.0,0
82.0,263.0,1230,1107,492,492,1599,1312,1394,902,254222.13,6200.539756097561,30.0,41.0,61.0,0
83.0,186.0,16,0,8,8,0,0,0,0,21313.5,2664.1875,1705.0,8.0,8.0,0
84.0,164.0,90,100,0,10,60,30,100,0,35904.04,3590.404,275.0,10.0,11.0,0
85.0,181.0,130,104,143,52,104,26,104,91,52209.759999999995,4016.1353846153843,519.0,13.0,14.0,1
86.0,146.0,44,88,55,0,88,88,99,66,72957.22,6632.4745454545455,731.0,11.0,15.0,1
