DATA_MENSAL,TOTAL_CASOS,TOTAL_DOLAR_FATURADO,ID
2021-12-01,1,1242.0,3
2023-12-01,1,1691.0,3
2018-03-01,2,4475.5,4
2010-01-01,1,2000.0,5
2006-02-01,1,5350.0,5
2014-02-01,1,2848.38,5
2007-03-01,1,0.0,5
2009-05-01,1,1625.0,5
2015-05-01,1,710.0,5
2010-06-01,1,2675.0,5
2021-08-01,1,1314.88,5
2010-09-01,1,755.0,5
2015-09-01,1,570.0,5
2013-10-01,1,650.0,5
2006-11-01,1,2075.0,5
2006-01-01,1,195.5,6
2009-02-01,1,408.0,6
2010-02-01,1,255.0,6
2024-02-01,2,15969.82,6
1997-03-01,1,153.0,6
2008-03-01,1,2650.73,6
2009-03-01,1,748.0,6
2014-03-01,1,646.0,6
2019-03-01,2,24876.15,6
2020-04-01,2,20632.23,6
2023-04-01,1,9032.07,6
2005-05-01,1,212.5,6
2008-05-01,1,596.02,6
2012-05-01,1,620.5,6
2014-05-01,1,5305.97,6
2024-05-01,2,16369.39,6
2007-06-01,1,408.0,6
2009-06-01,1,833.0,6
2010-06-01,1,6281.5,6
2024-06-01,1,8532.74,6
2002-07-01,1,365.5,6
2024-07-01,1,7665.89,6
1999-08-01,2,2167.5,6
2011-08-01,1,170.0,6
2012-08-01,2,2269.5,6
2015-08-01,6,7725.37,6
2019-08-01,2,25364.41,6
2007-09-01,1,977.5,6
2011-09-01,1,382.5,6
2015-09-01,2,14235.5,6
2019-09-01,3,46704.58,6
2024-09-01,1,2534.57,6
2002-10-01,1,603.5,6
2012-10-01,1,3442.5,6
2023-10-01,2,14907.4,6
2024-10-01,1,7847.09,6
1997-11-01,1,1296.25,6
2001-11-01,1,195.5,6
2005-11-01,1,212.5,6
2006-12-01,1,1241.0,6
2012-12-01,5,4743.0,6
2015-12-01,1,1874.25,6
2016-12-01,1,1758.67,6
2019-12-01,1,12492.77,6
2013-01-01,2,3148.4,7
2014-01-01,2,23178.11,7
2018-01-01,2,6772.55,7
2019-01-01,3,9517.45,7
2021-01-01,1,3580.2,7
2006-02-01,1,14721.0,7
2010-02-01,1,382.5,7
2012-02-01,3,23397.1,7
2013-02-01,2,4832.25,7
2016-02-01,1,5093.39,7
2018-02-01,3,14604.75,7
2019-02-01,1,1242.0,7
2020-02-01,11,30970.6,7
2021-02-01,2,5089.8,7
2022-02-01,1,2815.2,7
2011-03-01,1,2448.0,7
2014-03-01,2,27112.16,7
2015-03-01,3,11079.55,7
2017-03-01,1,4751.01,7
2018-03-01,3,13367.1,7
2019-03-01,3,10298.6,7
2020-03-01,1,2398.7,7
2022-03-01,1,3095.7,7
2024-03-01,1,6331.33,7
2013-04-01,1,1326.0,7
2014-04-01,1,9015.55,7
2015-04-01,2,11080.16,7
2017-04-01,1,1471.13,7
2018-04-01,2,4559.4,7
2020-04-01,2,4080.85,7
2021-04-01,3,8279.0,7
2023-04-01,1,4266.15,7
2024-04-01,2,2663.05,7
2014-05-01,2,2714.48,7
2015-05-01,1,7729.92,7
2016-05-01,2,16373.61,7
2017-05-01,1,1708.53,7
2018-05-01,1,1310.7,7
2020-05-01,1,3413.6,7
2022-05-01,1,3167.1,7
2007-06-01,1,1020.0,7
2014-06-01,1,16623.47,7
2015-06-01,1,6120.0,7
2017-06-01,3,49051.33,7
2018-06-01,2,2111.4,7
2024-06-01,2,6012.9,7
2002-07-01,1,986.0,7
2012-07-01,1,9783.5,7
2013-07-01,1,2779.5,7
2015-07-01,4,8017.61,7
2016-07-01,1,14168.99,7
2019-07-01,1,5493.18,7
2020-07-01,1,2526.2,7
2023-07-01,1,908.65,7
2007-08-01,1,10956.25,7
2014-08-01,1,7380.51,7
2015-08-01,7,60562.72,7
2016-08-01,1,425.0,7
2018-08-01,2,5375.4,7
2022-08-01,1,2793.1,7
2007-09-01,1,4279.75,7
2012-09-01,1,1729.75,7
2014-09-01,1,2367.25,7
2015-09-01,5,80368.78,7
2016-09-01,3,27791.1,7
2018-09-01,1,5482.06,7
2020-09-01,1,2700.45,7
2022-09-01,1,2874.7,7
2023-09-01,2,2621.4,7
2024-09-01,1,3782.52,7
2013-10-01,1,943.5,7
2014-10-01,2,33625.61,7
2015-10-01,3,24792.07,7
2016-10-01,1,8566.22,7
2017-10-01,1,13653.43,7
2019-10-01,1,5193.08,7
2020-10-01,2,7832.75,7
2021-10-01,1,1565.7,7
2023-10-01,1,994.5,7
2010-11-01,1,2133.5,7
2012-11-01,1,2158.32,7
2014-11-01,2,25253.32,7
2017-11-01,2,6324.0,7
2018-11-01,5,9915.25,7
2022-11-01,6,73709.19,7
2012-12-01,1,935.0,7
2015-12-01,7,43423.6,7
2016-12-01,1,3481.87,7
2017-12-01,4,21073.2,7
2018-12-01,9,15429.2,7
2020-12-01,4,12803.55,7
2021-12-01,3,10307.95,7
2022-12-01,3,25193.0,7
2021-02-01,1,7550.88,8
2021-04-01,1,8460.98,8
2024-04-01,1,2669.0,8
2017-05-01,2,11905.0,8
2016-06-01,1,3875.0,8
2021-06-01,1,2519.0,8
2024-07-01,2,10840.02,8
2021-09-01,2,14148.24,8
2022-09-01,2,17511.75,8
2015-11-01,1,2900.0,8
2017-12-01,1,7565.0,8
2020-12-01,2,10548.0,8
2015-04-01,1,3558.0,9
2019-08-01,1,7989.0,9
2013-10-01,1,2645.0,9
2017-10-01,1,6365.98,9
2019-10-01,1,4029.0,9
2005-12-01,1,1600.0,9
2024-05-01,1,4801.5,10
2023-11-01,101,102010.88,10
2016-05-01,1,1478.9,11
2016-04-01,1,750.0,12
2011-06-01,1,5030.0,12
2017-02-01,1,1309.83,13
2011-04-01,1,2216.52,13
2009-07-01,1,78.51,13
2019-07-01,1,2374.24,13
2009-08-01,1,1858.31,13
2019-12-01,1,1260.19,13
2011-04-01,1,62.44,14
2016-04-01,1,2043.78,15
2021-04-01,1,1910.06,15
2024-04-01,2,8319.73,15
2019-05-01,7,10380.71,15
2017-06-01,3,9594.89,15
2024-08-01,1,2632.16,15
2017-09-01,2,5189.96,15
2024-09-01,2,5694.22,15
2024-10-01,1,8271.24,15
2020-11-01,1,1249.41,15
