PLAYER_ID,PLAYER_NAME,GP,PTS_PER_GP,IMC,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,FGM,FGA,FG%,AST,TOV,PF,TEAM_ABBREVIATION,FG_PCT_Restricted_Area,FG_PCT_In_The_Paint_(Non-RA),FG_PCT_Left_Corner_3,FG_PCT_Right_Corner_3,FG_PCT_Mid-Range,FG_PCT_Above_the_Break_3,AST_PER_GP,STL_PER_GP,BLK_PER_GP,MIN_PER_GP
1631117,Walker Kessler,64,8.09,24.49,-4.5,10.9,19.900000000000002,12.7,66.3,229,350,65.4,60,66,132,UTA,73.8,37.0,16.7,28.599999999999998,0.0,0.0,0.9375,0.46875,2.40625,23.328125
1631119,Jaylin Williams,69,4.0,25.65,6.8,4.1000000000000005,21.6,13.3,56.10000000000001,95,228,41.699999999999996,110,34,98,OKC,63.3,32.0,39.1,27.3,30.0,37.3,1.5942028985507246,0.4057971014492754,0.391304347826087,13.0
1631120,JD Davison,8,2.0,25.84,29.6,4.8,16.0,16.0,58.099999999999994,5,12,41.699999999999996,10,2,4,BOS,100.0,0.0,0.0,0.0,50.0,50.0,1.25,0.125,0.125,4.875
1631121,Bryce McGowens,59,5.12,20.25,-13.0,1.9,9.8,14.7,56.49999999999999,101,230,43.9,51,30,74,CHA,58.099999999999994,41.699999999999996,23.1,50.0,38.9,27.900000000000002,0.864406779661017,0.3559322033898305,0.1694915254237288,14.94915254237288
1631123,Jamaree Bouyea,9,2.33,23.1,-7.5,2.8000000000000003,17.0,16.2,37.5,10,28,35.699999999999996,11,9,10,SAS,62.5,30.0,0.0,0.0,100.0,12.5,1.2222222222222223,0.1111111111111111,0.0,10.555555555555555
1631124,Julian Strawther,50,4.54,23.72,-9.8,0.8,9.6,19.3,48.199999999999996,82,222,36.9,47,23,54,DEN,56.8,43.2,30.0,50.0,40.0,28.7,0.94,0.34,0.14,10.9
1631128,Christian Braun,82,7.32,25.45,0.7,4.6,12.6,15.2,55.400000000000006,222,483,46.0,132,55,137,DEN,59.0,31.7,32.4,29.2,32.0,42.9,1.6097560975609757,0.5121951219512195,0.4268292682926829,20.195121951219512
1631131,Oscar Tshiebwe,8,3.25,28.07,15.9,16.7,22.900000000000002,20.5,55.300000000000004,10,20,50.0,2,0,3,IND,45.5,57.099999999999994,0.0,0.0,50.0,0.0,0.25,0.25,0.125,5.25
1631133,Jabari Walker,72,8.86,25.49,-9.5,8.200000000000001,22.2,15.9,54.6,234,509,46.0,71,66,173,POR,65.2,26.5,46.9,14.299999999999999,28.599999999999998,29.599999999999998,0.9861111111111112,0.5833333333333334,0.3055555555555556,23.625
1631157,Ryan Rollins,13,3.38,22.38,35.4,2.8000000000000003,13.3,21.4,63.800000000000004,14,27,51.9,14,8,8,MIL,80.0,25.0,100.0,0.0,20.0,66.7,1.0769230769230769,0.7692307692307693,0.23076923076923078,6.0
1631159,Leonard Miller,17,1.71,22.02,3.2,8.9,30.0,15.7,69.39999999999999,13,20,65.0,8,1,5,MIN,72.7,0.0,100.0,0.0,75.0,33.300000000000004,0.47058823529411764,0.11764705882352941,0.058823529411764705,3.0588235294117645
1631165,Keon Ellis,57,5.44,21.76,5.5,3.1,9.4,12.3,62.7,107,232,46.1,85,37,112,SAC,60.0,63.2,34.5,37.5,46.7,44.7,1.4912280701754386,0.8947368421052632,0.5087719298245614,17.17543859649123
1631167,Izaiah Brockington,1,4.0,23.87,50.0,12.5,16.7,38.5,40.0,2,5,40.0,0,0,0,NOP,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1631169,Josh Minott,32,1.56,22.57,6.0,3.9,14.099999999999998,17.299999999999997,59.3,17,36,47.199999999999996,8,2,10,MIN,55.60000000000001,37.5,33.300000000000004,0.0,0.0,42.9,0.25,0.15625,0.15625,2.84375
