Date,Close,High,Low,Open,Volume
2011-05-02,4.428368091583252,4.468747901889606,4.3341473630723435,4.3341473630723435,29936513
2011-05-03,4.3879876136779785,4.492975543674914,4.361067158671443,4.441827206170656,3599867
2011-05-04,4.436444282531738,4.436444282531738,4.39337234052205,4.39337234052205,4191406
2011-05-05,4.4095234870910645,4.417599008977725,4.393372004144266,4.417599008977725,3752456
2011-05-06,4.3772196769714355,4.40952396387842,4.3072272749264,4.401447562771531,4134612
2011-05-09,4.334146976470947,4.374527222348957,4.31799505378914,4.363759566676746,71384
2011-05-10,4.334146976470947,4.334146976470947,4.334146976470947,4.334146976470947,0
2011-05-11,4.414908409118652,4.441827990531859,4.374527719478217,4.374527719478217,667148
2011-05-12,4.420291900634766,4.420291900634766,4.361068029643482,4.366452297389496,786893
2011-05-13,4.401447296142578,4.414907963838645,4.3718351447317225,4.414907963838645,753365
2011-05-16,4.401447296142578,4.401447296142578,4.401447296142578,4.401447296142578,0
2011-05-17,4.334146976470947,4.347606765647956,4.312611225953035,4.334146976470947,591538
2011-05-18,4.253386497497559,4.342223838381137,4.2453109744720585,4.320687646401342,2380182
2011-05-19,4.261462688446045,4.301842936620866,4.2426186311875975,4.253386287472267,1514257
2011-05-20,4.291075229644775,4.304535019428368,4.175318314630111,4.256078370852198,1124573
2011-05-23,4.274923324584961,4.274923324584961,4.18608598875615,4.24261859927984,935719
2011-05-24,4.218390464782715,4.3072269170148605,4.175318085819194,4.293767127968875,3585840
2011-05-25,4.091865062713623,4.213006239541398,4.089172929208375,4.213006239541398,1985366
2011-05-26,4.234543323516846,4.23992759166443,4.086482976235626,4.086482976235626,1263135
2011-05-27,4.253386497497559,4.2803069570590715,4.178010703915352,4.196854762104288,1778037
2011-05-30,4.29376745223999,4.3018429749386655,4.199546725934985,4.199546725934985,498480
2011-05-31,4.30722713470459,4.30722713470459,4.213006410753291,4.30722713470459,3846883
2011-06-01,4.361068248748779,4.37991230845947,4.248003451311059,4.272231779038275,1503309
2011-06-02,4.414908409118652,4.441827990531859,4.307227448424575,4.307227448424575,1482439
2011-06-03,4.495668411254883,4.495668411254883,4.361067870932744,4.361067870932744,1386643
2011-06-06,4.495668411254883,4.527973138208205,4.431060274868846,4.460672868047135,1116362
2011-06-07,4.492976665496826,4.5145128592098995,4.420292121508597,4.468748337776225,2027106
2011-06-08,4.463364601135254,4.490283740601307,4.422983476481944,4.487592485414947,1119783
2011-06-09,4.603349208831787,4.649113281166207,4.441827351842326,4.444519485265962,3862621
2011-06-10,4.616809368133545,4.616809368133545,4.474132420086606,4.562968886085581,1587130
2011-06-13,4.657188892364502,4.781021762143786,4.603349297074073,4.6168086469298215,2819132
2011-06-14,4.6087327003479,4.72448917006993,4.487592402831736,4.684109363680201,2110243
2011-06-15,4.546816349029541,4.603349396537165,4.501052274829054,4.603349396537165,1644265
2011-06-16,4.52258825302124,4.541431869352444,4.304534669666787,4.441827325014295,2052423
2011-06-17,4.44182825088501,4.506437270261989,4.320687931557356,4.495668734387853,811526
2011-06-20,4.361068248748779,4.414908733046163,4.315304166476182,4.396063794988325,820422
2011-06-21,4.468748092651367,4.490284285183113,4.331455414228427,4.334147548088282,637383
2011-06-22,4.374527931213379,4.490284420595412,4.371835797272337,4.404140087044147,1114651
2011-06-24,4.361068248748779,4.476824741021188,4.3368399210215625,4.409524465029638,643200
2011-06-27,4.30722713470459,4.433752144511206,4.258770486334859,4.433752144511206,1005513
2011-06-28,4.371834754943848,4.371834754943848,4.2883825752302105,4.309918763276781,1076333
2011-06-29,4.420291900634766,4.420291900634766,4.328763301514506,4.361068029643482,1010303
2011-06-30,4.374527931213379,4.406832220985189,4.30722765690228,4.37722006515442,1820461
